Utility_ID,Electric_Utility,State
191,PUGET SOUND ENERGY INC,Unknown
192,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
193,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
194,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
195,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
196,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
197,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
198,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
199,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
200,PUGET SOUND ENERGY INC,Unknown
201,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
202,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
203,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
204,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
205,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
206,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
207,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
208,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
209,PUGET SOUND ENERGY INC,Unknown
210,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
211,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
212,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
213,PUGET SOUND ENERGY INC,Unknown
214,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
215,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
216,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
217,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
218,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
219,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
220,PUGET SOUND ENERGY INC,Unknown
221,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
222,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
223,PUGET SOUND ENERGY INC,Unknown
224,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
225,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
226,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
227,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
228,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
229,PUGET SOUND ENERGY INC,Unknown
230,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
231,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
232,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
233,PUGET SOUND ENERGY INC,Unknown
234,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
235,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
236,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
237,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
238,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
239,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
240,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
241,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
242,PUGET SOUND ENERGY INC,Unknown
243,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
244,PUGET SOUND ENERGY INC,Unknown
245,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),WA
246,PUGET SOUND ENERGY INC,Unknown
247,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),WA
248,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),WA
